#ZVView-data-copy: 17-Feb-2019 14:33:11
------------------------------------------------------------------------
#
#FPYI,U-235,ENDF/B-VIII.0,Ei=0.0253eV
Z(107x50): Z_i,j = Cor(?_Xi ,?_Yj )*100
  	X(NO-DIM)
Y(NO-DIM) 	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82 83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103 104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120 121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137 138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154 155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	/j/
23 2.05032e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
24 	2.40981e-12	0	0 2.10819e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
25 	7.19949e-10	5.37962e-10	6.65953e-11	8.02922e-12	0	0	6.08289e-16 6.41071e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
26 	3.75973e-08	6.86951e-08	3.91972e-08	1.21991e-08	3.23977e-09 4.91965e-10	7.14943e-11	5.53954e-12	0 1.00027e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
27 	2.8098e-08	1.99986e-07	2.46983e-07	3.24977e-07	2.08985e-07 1.4799e-07	5.79959e-08	2.20984e-08	2.99979e-09	3.80963e-10	2.52982e-11 6.52643e-13 4.27929e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
28 	5.77959e-09	9.03936e-08	4.1897e-07	1.11992e-06	2.7798e-06 4.34969e-06	7.59946e-06	7.1295e-06	4.57968e-06	1.52989e-06	5.01965e-07 5.63954e-08	5.0296e-09	0 1.55989e-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
29 	1.4299e-11	9.67932e-10	1.05093e-08	1.13992e-07	5.94957e-07 3.47975e-06	1.26991e-05	4.70967e-05	6.81952e-05	0.000100993	8.27941e-05 4.44969e-05	1.08992e-05	0	5.24963e-08	0	1.4799e-10 7.3133e-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
30 	0	0	4.73967e-11	1.30791e-09	3.02979e-08	4.06072e-07	6.09957e-06 4.62967e-05	0.000250982	0.000766946	0.00183787	0.00314378	0.00356475 0.00163888	0.000241983	0	1.07992e-05	6.31948e-08	1.21991e-06 1.54373e-11 2.27984e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
31 	0	0	0	0	1.4699e-11	9.38934e-10	3.85972e-08	1.20991e-06	1.4599e-05 0.000192986	0.00104593	0.00408171	0.0102813	0.0171078	0.0117062 0.00817742	0.00626156	0.000191986	0.0110672	5.87943e-07	3.27977e-05 2.54114e-08 4.42392e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
